"Parcela";"Idade";"HD";"N";"V";"B"
1;26,4;12,4;1020;19,7;5,7
1;38,4;17,2;1020;60,8;9,8
1;51,6;19,1;1020;103,4;13,9
1;63,6;21,8;1020;136,5;15,3
2;26,4;15;900;27,3;6
2;38,4;20,3;900;80;10,5
2;50,4;22;900;111;13,3
2;62,4;24,4;900;148,3;15
3;26,4;16;1040;35,4;7,1
3;38,4;19,5;1040;69;10,5
3;51,6;21,9;900;97,3;12
3;64,8;24,4;800;114,5;12,6
4;32,4;20,8;1080;79,6;11,1
4;43,2;22,7;1080;128;14,9
4;55,2;24,3;1060;162,1;17,4
4;68,4;26,6;1060;216,2;19,9
5;26,4;16,2;900;43,6;7,6
5;38,4;20,7;900;90,2;11,6
5;51,6;23,8;880;137,2;14
5;64,8;24,8;860;174,1;16,9
6;26,4;16,5;940;39,4;7,2
6;38,4;20,3;900;69,4;9,8
6;51,6;20,6;760;79,5;9,8
6;64,8;21,4;400;54;6,5
7;26,4;16,3;940;44,4;7,8
7;38,4;20;940;85;11,4
7;51,6;22,2;940;127,7;14
7;64,8;24,8;880;158,2;15,6
8;26,4;16,7;840;54,4;8,6
8;38,4;22;840;116,2;13,7
8;50,4;25;840;174,3;16,5
8;62,4;28;820;222,8;19
9;28,8;14,4;1060;22,6;6
9;39,6;16,9;1060;52,7;9,1
9;51,6;18,6;1060;80,8;11,8
9;63,6;20,9;1060;105,9;13,1
10;27,6;17,9;1100;66,1;10,3
10;40,8;19,8;1100;105,5;13,9
10;54;22,3;1100;157,6;17
10;67,2;24,6;1100;202,1;19,8
11;27,6;18,6;1140;77,1;11,3
11;40,8;21,3;1120;129,1;15,9
11;54;24,8;1120;189,3;18,8
11;67,2;26,8;1120;238,9;21,7
12;27,6;19,2;1060;69;10,1
12;40,8;20,7;1060;119,4;15
12;54;24,3;1020;177,8;17,7
12;67,2;26,4;1020;230;21
13;28,8;19,1;1140;107,4;14,1
13;40,8;22,9;1140;171,5;18,3
13;51,6;25,6;1140;213,5;20,5
13;67,2;27,8;1140;267,1;22,6
14;27,6;18,7;1100;70,6;10,4
14;38,4;21,3;1100;111,2;13,3
14;50,4;24,5;1080;163;16,9
14;66;27,4;1060;211,1;18,7
15;27,6;18,2;1160;69,5;10,5
15;39,6;22;1140;113,6;13,4
15;50,4;23,6;1120;149,8;16
15;66;25,9;1120;188,4;17,5
16;32,4;20,1;1060;115;14,7
16;43,2;23,2;1060;174;19
16;56,4;26,6;1060;250;23,8
16;68,4;28,8;1040;315,6;27
17;26,4;17,9;940;75,9;10,9
17;40,8;23,4;940;153;16,4
17;51,6;26,5;940;214,5;19,5
17;63,6;28,9;940;272,2;22,3
18;26,4;19,9;960;82,9;10,8
18;40,8;23,6;940;162,5;17
18;51,6;26,4;940;221,7;20
18;63,6;28,1;920;264,1;21,9
19;27,6;17,7;1120;58,6;9,6
19;40,8;21,2;1120;103,8;13,4
19;54;23,4;1120;147,8;15,7
19;67,2;24,8;1120;183,8;18,3
20;27,6;17,8;1080;58,7;9,6
20;40,8;21,1;1080;97,6;13,1
20;54;23,2;1040;137;15,2
20;67,2;25,7;1040;177,2;17,7
21;26,4;16;940;32,6;6,6
21;38,4;18,8;940;70,8;10,4
21;51,6;19,8;940;95,7;12
21;64,8;22;920;123,7;14,1
22;26,4;15,4;860;32,3;6,4
22;38,4;19,1;860;62,1;9,2
22;51,6;22,5;860;94,5;11,1
22;64,8;25,3;860;131,6;13,7
23;26,4;17,7;980;45,9;7,8
23;38,4;20;940;81,6;11
23;51,6;22,8;940;122,4;13,3
23;64,8;25,2;940;161,4;15,9
24;30;13,5;1040;24,3;6
24;40,8;17,5;1040;54,8;8,9
24;52,8;19;1040;76,6;10,9
24;64,8;20,7;1040;98,2;12,1
25;28,8;16,1;1080;25,5;6,1
25;39,6;17,3;1060;51,8;8,8
25;51,6;17,7;1040;68,4;10,7
25;63,6;18,3;1040;80,3;11,6
26;28,8;14,5;780;16,5;4,2
26;39,6;18,7;780;42,1;6,7
26;51,6;19,8;780;58;8,2
26;63,6;22,9;780;78,6;9,1
27;28,8;15,6;1140;35,8;7,7
27;39,6;19,7;1140;87;12
27;51,6;21,2;1140;117;14,6
27;63,6;23,8;1120;148,5;15,6
28;32,4;20,6;1120;129,5;16,2
28;43,2;23,3;1100;191,2;20,7
28;56,4;26,5;1100;257,5;24,6
28;68,4;28,8;1100;320,6;27,8
29;32,4;19,5;1080;113,5;15,1
29;43,2;24,1;1080;195;19,6
29;56,4;27,6;1080;281,7;23,5
29;68,4;29,5;1080;345;26,7
30;32,4;20,5;1040;119,7;15,1
30;43,2;26,4;1040;200;19,2
30;56,4;27,1;1040;243,6;23
30;68,4;29;1040;292;25,4
31;32,4;21,5;1080;126,6;15,1
31;43,2;26,5;1080;218,1;19,4
31;56,4;29,2;1100;297,7;23,1
31;68,4;30,4;1100;356;26
32;28,8;18,8;1040;85,3;12
32;43,2;24,6;1020;151,5;16,9
32;54;26,7;1000;207,9;19,7
32;66;31,2;1000;277;22,4
33;28,8;17,9;1020;68,3;10,1
33;40,8;22,2;1020;110,9;12,9
33;51,6;25;1020;155,5;15,8
33;67,2;27,7;1000;192,9;17,2
34;26,4;13,3;780;12,3;3,9
34;38,4;17;780;41,2;7
34;51,6;19,2;780;61,3;8,7
34;63,6;21;780;81,4;9,9
35;44,4;18,8;740;40,6;6,5
35;55,2;19,1;720;50,4;7,4
35;68,4;20,1;720;62,2;8,5
